Name,Team,G,0-19,20-29,30-39,40-49,50+,FGM,FGA,Pct,Lng,XPM,XPA,Pct,Pts
Justin Tucker,BAL,16,0-0,10-10,12-13,10-11,6-7,38,41,92.7,61,26,26,100,140
Stephen Gostkowski,NWE,16,1-1,8-8,13-13,11-13,5-6,38,41,92.7,54,44,44,100,158
Adam Vinatieri,IND,15,0-0,6-6,10-11,15-17,4-6,35,40,87.5,52,34,34,100,139
Nick Novak,SDG,16,1-1,9-9,13-16,9-9,2-2,34,37,91.9,50,42,42,100,144
Mason Crosby,GNB,16,1-1,13-13,8-8,6-8,5-7,33,37,89.2,57,42,42,100,141
Dan Carpenter,BUF,16,0-0,13-13,6-6,10-11,4-6,33,36,91.7,55,32,32,100,131
Steven Hauschka,SEA,16,0-0,10-11,9-9,11-12,3-3,33,35,94.3,53,44,44,100,143
Nick Folk,NYJ,16,0-0,8-8,10-11,12-14,3-3,33,36,91.7,54,27,27,100,126
Phil Dawson,SFO,16,0-0,12-13,6-6,10-11,4-6,32,36,88.9,56,44,44,100,140
Jay Feely,ARI,16,0-0,9-11,7-8,11-12,3-5,30,36,83.3,52,37,37,100,127
Shaun Suisham,PIT,16,0-0,9-9,13-15,8-8,0-0,30,32,93.8,48,39,39,100,129
Dan Bailey,DAL,16,2-2,2-2,9-9,10-10,6-7,28,30,93.3,53,47,47,100,131
Randy Bullock,HOU,16,1-1,7-7,5-5,12-17,1-5,26,35,74.3,51,26,26,100,104
Robbie Gould,CHI,16,0-0,11-11,6-7,6-7,3-4,26,29,89.7,58,45,46,97.8,123
Caleb Sturgis,MIA,16,1-1,4-4,10-12,8-10,3-7,26,34,76.5,54,33,33,100,111
Blair Walsh,MIN,16,0-0,7-7,12-12,5-6,2-5,26,30,86.7,54,43,44,97.7,121
Greg Zuerlein,STL,16,0-0,7-7,10-10,9-9,2-2,26,28,92.9,54,34,34,100,112
Rob Bironas,TEN,16,0-0,10-10,9-9,5-7,2-3,25,29,86.2,55,41,41,100,116
Matt Prater,DEN,16,2-2,4-4,5-5,8-8,6-7,25,26,96.2,64,75,75,100,150
Graham Gano,CAR,16,0-0,9-9,4-5,5-7,6-6,24,27,88.9,55,42,42,100,114
Matt Bryant,ATL,16,0-0,9-9,7-8,-5-5,3-5,24,27,88.9,53,39,39,100,111
Alex Henery,PHI,16,0-0,8-8,7-8,6-10,1-2,23,28,82.1,51,45,45,100,114
Rian Lindell,TAM,16,0-0,3-3,12-14,4-6,4-6,23,29,79.3,54,31,31,100,100
Josh Brown,NYG,16,0-0,8-8,7-8,7-8,1-2,23,26,88.5,52,31,31,100,100
Josh Scobee,JAC,16,0-0,3-3,12-12,4-5,4-5,23,25,92,55,22,23,95.7,91
Garrett Hartley,NOR,14,2-2,5-6,5-8,9-13,1-1,22,30,73.3,55,41,41,100,107
Ryan Succop,KAN,16,0-0,6-6,9-10,6-8,1-4,22,28,78.6,51,52,52,100,118
Sebastian Janikowski,OAK,16,0-0,6-6,4-6,8-11,1-7,21,30,70,53,37,37,100,100
Billy Cundiff,CLE,16,0-0,7-7,5-6,7-9,2-4,21,26,80.8,51,32,32,100,95
David Akers,DET,16,1-1,5-5,6-8,4-7,3-3,19,24,79.2,53,42,43,97.7,99
Kai Forbath,WAS,13,0-0,3-4,10-10,4-6,1-2,18,22,81.8,50,26,26,100,80
Mike Nugent,CIN,16,0-0,2-2,6-7,7-9,3-4,18,22,81.8,54,52,53,98.1,106
John Potter,WAS,3,0-0,2-2,0-0,1-1,0-1,3,4,75,43,7,7,100,16
Shayne Graham,NOR,2,0-0,1-1,0-0,1-1,0-0,2,2,100,40,7,7,100,13
