Tm,Team,Pts,Pts/G,Yds,TO,FumRec,Int,Sack,Ret TD,Def TD,Sfty
MIN,Minnesota Vikings,456,28.5,6362,20,8,12,41,3,1,0
CHI,Chicago Bears,434,27.125,6313,28,9,19,31,1,6,0
WAS,Washington Redskins,464,29,5665,26,10,16,36,0,5,0
OAK,Oakland Raiders,435,27.1875,5819,22,13,9,38,0,4,0
JAX,Jacksonville Jaguars,425,26.5625,6070,21,10,11,31,0,2,3
ATL,Atlanta Falcons,419,26.1875,6070,21,11,10,32,0,3,0
DAL,Dallas Cowboys,432,27,6645,28,13,15,34,1,5,0
GB,Green Bay Packers,402,25.125,5956,22,11,11,44,1,3,0
HOU,Houston Texans,390,24.375,5081,11,4,7,32,1,1,1
CLE,Cleveland Browns,386,24.125,5319,21,7,14,40,1,4,0
DEN,Denver Broncos,385,24.0625,5696,26,9,17,41,2,3,0
TB,Tampa Bay Buccaneers,381,23.8125,5568,31,10,21,35,0,3,1
BUF,Buffalo Bills,370,23.125,5334,30,7,23,57,0,3,0
NYJ,New York Jets,351,21.9375,5359,15,2,13,41,0,2,1
NYG,New York Giants,345,21.5625,5316,29,12,17,34,0,3,0
PHI,Philadelphia Eagles,370,23.125,6304,31,12,19,37,0,2,2
TEN,Tennessee Titans,359,22.4375,5407,25,12,13,36,0,3,0
DET,Detroit Lions,352,22,5546,22,7,15,33,2,2,2
PIT,Pittsburgh Steelers,358,22.375,5395,20,10,10,34,1,3,1
STL,St. Louis Rams,332,20.75,5520,29,15,14,53,1,5,1
BAL,Baltimore Ravens,322,20.125,5368,24,8,16,40,2,1,0
SD,San Diego Chargers,330,20.625,5864,17,6,11,35,0,1,0
NE,New England Patriots,320,20,5969,29,12,17,48,0,3,0
IND,Indianapolis Colts,322,20.125,5713,27,12,15,42,0,2,2
MIA,Miami Dolphins,321,20.0625,5750,24,6,18,42,0,2,1
ARI,Arizona Cardinals,316,19.75,5079,30,10,20,47,0,5,2
CIN,Cincinnati Bengals,285,17.8125,4888,31,11,20,43,0,7,0
KC,Kansas City Chiefs,305,19.0625,5885,36,15,21,47,4,7,0
NO,New Orleans Saints,292,18.25,4891,19,7,12,49,0,0,0
SEA,Seattle Seahawks,225,14.0625,5071,30,11,28,44,0,4,2
CAR,Carolina Panthers,237,14.8125,4820,30,10,20,60,0,4,0
SF,San Francisco 49ers,270,16.875,4378,39,12,18,38,0,5,1
